4646.98	3749.51
4644.35	3749.52
4643.24	3748.67
4646.98	3750.89
4641.13	3748.23
4646.75	3750.26
4643.29	3751.99
4640.78	3747
4638.95	3749.74
4647.29	3749.82
4651.65	3749.02
4649.65	3747.16
4646.66	3752.23
4649.38	3749.14
4648.22	3750.32
4639.27	3747.96
4637.3	3749.5
4649.07	3751.94
4640.39	3752.43
4642.91	3750.75
4652.18	3747.86
4651.1	3751.52
4642.33	3745.67
4637.33	3750.14
2243.18	894.126
4641.7	3742
2238.31	897.762
2245.7	904.578
4640.14	3746.68
2298.6	3896.36
4641.22	3749.48
4663.5	3748.86
2237.53	898.65
2287.97	3901.21
2245.52	901.296
2235.4	891.036
4631.08	3739.57
2304.88	3905.48
2281.21	3887.64
2311.33	3884.15
4610.27	3750.53
2262.16	3888.49
5199.87	1598.76
2247.17	3893.91
5397.68	375.914
2237.12	911.58
386.455	1853.53
2265.32	3911.83
376.758	1854.74
2244.31	880.812
373.016	1851.74
390.371	1848.09
4662.88	3749.86
2344.88	3891.47
2269.69	3896.53
2277.83	3921.55
2342.59	3880.78
4610.42	3752.98
393.984	1859.21
4596.48	3751.19
383.402	1858.14
4606.48	3750.09
2791.7	697.338
2330.75	3892.27
396.004	1855.76
4669.87	3766.63
4640.18	3770.54
4818.73	4188.94
4680.41	3751.49
4816.82	4189.3
4817.18	4186.04
2788.56	689.25
5386.63	390.967
2261.36	3907.87
520.485	3962.83
2230.64	902.04
4817.75	4178.72
2282.79	3895.8
2341.99	3887.42
392.909	1841.22
398.486	1847.59
2237.53	3885.92
2237.8	3907.04
383.319	1865.07
384.157	1859.48
2246.54	919.728
513.36	3957.87
2304.23	3879.21
514.012	3957.23
4698.17	3755.14
4685.21	3735.4
372.438	1845.47
509.047	3965.93
2274.94	3919.41
5204.75	1604.99
2246.98	919.794
4590.67	3757.37
2374.43	3905.91
2378.29	3895.37
400.361	1844.35
524.085	3969.18
1823.7	1390.13
391.988	1862.87
2247.62	878.73
4809.41	4190.87
2296.76	3922.58
4827.35	4186.67
2229.19	883.242
2298.24	3906.05
2781.65	689.112
2782.63	689.988
2329.25	3872.24
2256.5	3923.14
2319.79	3928.71
4676.18	3747.55
2229.73	901.68
2787.05	681.948
2236.95	897.396
374.863	1850.3
2241.37	3922.16
380.135	1851.89
